game_date,week,passer_player_name,posteam,defteam,passing_yards,pass_touchdown,complete_pass,interception
2020-09-13,1,L.Jackson,BAL,CLE,25.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,21.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,4.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,16.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,16.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,28.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,8.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,20.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,13.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,16.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,11.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,9.0,1.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,4.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,21.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,19.0,1.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,20.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,5.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,21.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,3.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,-2.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,12.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,-1.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,4.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,2.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,0.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,9.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,10.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,12.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,R.Griffin,BAL,CLE,9.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,20.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,31.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,9.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,9.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,10.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,18.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,6.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,4.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,8.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,4.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,5.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,24.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,4.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,5.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,33.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,6.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,19.0,1.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,21.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,11.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,3.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,18.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,31.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,9.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,12.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,12.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,14.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,9.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,11.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,10.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,7.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,30.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,6.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,17.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,12.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,1.0
2020-09-13,1,D.Prescott,DAL,LA,11.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,11.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,14.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,2.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,7.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,15.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,J.Goff,LA,DAL,15.0,0.0,1.0,0.0
2020-09-13,1,J.Goff,LA,DAL,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,2.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,5.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,7.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,4.0,0.0,1.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
