week,date,home_team,away_team,venue,status
12,2025-11-23,LV,CLE,Allegiant Stadium,REG
12,2025-11-23,DAL,PHI,AT&T Stadium,REG
12,2025-11-23,NO,ATL,Mercedes-Benz Superdome,REG
12,2025-11-23,LA,TB,SoFi Stadium,REG
12,2025-11-24,SF,CAR,Levi's Stadium,REG
13,2025-11-27,DET,GB,Ford Field,REG
13,2025-11-27,DAL,KC,AT&T Stadium,REG
13,2025-11-27,BAL,CIN,M&T Bank Stadium,REG
13,2025-11-28,PHI,CHI,Lincoln Financial Field,REG
13,2025-11-30,CAR,LA,Bank of America Stadium,REG
13,2025-11-30,CLE,SF,FirstEnergy Stadium,REG
13,2025-11-30,IND,HOU,Lucas Oil Stadium,REG
13,2025-11-30,MIA,NO,Hard Rock Stadium,REG
13,2025-11-30,NYJ,ATL,MetLife Stadium,REG
13,2025-11-30,TB,ARI,Raymond James Stadium,REG
13,2025-11-30,TEN,JAX,Nissan Stadium,REG
13,2025-11-30,SEA,MIN,Lumen Field,REG
13,2025-11-30,LAC,LV,SoFi Stadium,REG
13,2025-11-30,PIT,BUF,Acrisure Stadium,REG
13,2025-11-30,WAS,DEN,FedExField,REG
13,2025-12-01,NE,NYG,Gillette Stadium,REG
14,2025-12-04,DET,DAL,Ford Field,REG
14,2025-12-07,ATL,SEA,Mercedes-Benz Stadium,REG
14,2025-12-07,BAL,PIT,M&T Bank Stadium,REG
14,2025-12-07,BUF,CIN,New Era Field,REG
14,2025-12-07,CLE,TEN,FirstEnergy Stadium,REG
14,2025-12-07,JAX,IND,TIAA Bank Stadium,REG
14,2025-12-07,MIN,WAS,U.S. Bank Stadium,REG
14,2025-12-07,NYJ,MIA,MetLife Stadium,REG
14,2025-12-07,TB,NO,Raymond James Stadium,REG
14,2025-12-07,LV,DEN,Allegiant Stadium,REG
14,2025-12-07,ARI,LA,State Farm Stadium,REG
14,2025-12-07,GB,CHI,Lambeau Field,REG
14,2025-12-07,KC,HOU,GEHA Field at Arrowhead Stadium,REG
14,2025-12-08,LAC,PHI,SoFi Stadium,REG
15,2025-12-11,TB,ATL,Raymond James Stadium,REG
